City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,crane,31.3974,-102.3501,29.73,39,0,8.28,US,1691132090
83,sechura,-5.5569,-80.8222,21.49,78,4,5.13,PE,1691132611
84,natal,-5.795,-35.2094,21.12,94,0,3.09,BR,1691132455
85,atbasar,51.8,68.3333,27.32,44,3,3.99,KZ,1691132612
86,enewetak,11.3474,162.3373,28.57,77,55,5.54,MH,1691132122
87,puerto natales,-51.7236,-72.4875,1.98,82,47,9.2,CL,1691132035
88,mhamid,29.82,-5.72,33.3,9,0,2.98,MA,1691132613
89,bikenibeu village,1.3673,173.1241,29.98,74,75,2.06,KI,1691132089
90,wynyard,-41.0,145.7167,11.93,82,56,8.22,AU,1691132178
91,padangsidempuan,1.3667,99.2667,32.47,50,20,2.22,ID,1691132240
92,tiksi,71.6872,128.8694,4.14,94,100,2.04,RU,1691132143
93,gorontalo,0.5412,123.0595,30.66,65,75,4.39,ID,1691132615
94,albany,42.6001,-73.9662,19.74,83,100,0.45,US,1691132049
95,karratha,-20.7377,116.8463,26.76,51,0,3.11,AU,1691132212
96,tadine,-21.55,167.8833,18.82,87,100,10.43,NC,1691132228
97,port elizabeth,-33.918,25.5701,14.16,67,0,2.06,ZA,1691132108
98,antsiranana,-12.2787,49.2917,27.42,54,40,9.26,MG,1691132219
99,port alfred,-33.5906,26.891,21.77,37,48,3.13,ZA,1691132040
100,anadyr,64.75,177.4833,11.28,87,75,8.94,RU,1691132131
101,lorengau,-2.0226,147.2712,27.92,80,77,5.3,PG,1691132619
102,luderitz,-26.6481,15.1594,12.45,84,67,3.35,NA,1691132068
103,carnarvon,-24.8667,113.6333,20.7,42,0,7.96,AU,1691132134
104,aqsay,51.1678,52.995,30.03,36,13,3.53,KZ,1691132620
105,ataq,14.5377,46.8319,30.28,41,83,4.72,YE,1691132620
106,ghanzi,-21.5667,21.7833,14.1,47,5,7.02,BW,1691132621
107,kingston,17.997,-76.7936,28.53,90,20,3.09,JM,1691131924
108,paita,-5.0892,-81.1144,21.27,84,10,5.35,PE,1691132622
109,isafjordur,66.0755,-23.124,10.37,74,87,0.98,IS,1691132066
110,st. john's,47.5649,-52.7093,13.27,89,0,3.09,CA,1691131800
111,zhaobaoshan,29.9695,121.6875,29.01,91,49,7.67,CN,1691132623
112,balaklava,44.5,33.6,27.18,56,0,2.75,UA,1691132624
113,okhotsk,59.3833,143.3,21.96,41,100,2.03,RU,1691132154
114,xingcheng,40.6167,120.7167,30.12,81,100,6.01,CN,1691132625
115,sao paulo de olivenca,-3.3783,-68.8725,22.97,94,81,0.21,BR,1691132625
116,darwin,-12.4611,130.8418,28.99,56,75,6.17,AU,1691131955
117,khash,28.2211,61.2158,36.02,8,5,5.22,IR,1691132626
